"photo_id","file_name","file_path","source_file","latitude","longitude","elevation","bearing","horizontal_accuracy","taken_local","taken_offset","taken_gps_utc","orientation","source_width","source_height"
"IMG_3768_7241022a","IMG_3768_7241022a.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3768_7241022a.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3768.jpeg","38.8952861111111","-78.1552194444444","330.8980759","309.7649994","4.748651528","2026-07-08T08:45:27","-04:00","2026-07-08T12:45:27","1","2316","3088"
"IMG_3601_b5bb8de7","IMG_3601_b5bb8de7.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3601_b5bb8de7.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3601.jpeg","38.8945055555556","-78.1666416666667","317.6744737","24.61581803","4.810797473","2026-06-17T13:00:31","-04:00","2026-06-17T17:00:30","1","3024","4032"
"IMG_3656_85b4d1c9","IMG_3656_85b4d1c9.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3656_85b4d1c9.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3656.jpeg","38.8982416666667","-78.1512083333333","276.7349995","40.25424193","4.748651528","2026-06-20T12:32:14","-04:00","2026-06-20T16:32:14","1","4032","3024"
"IMG_3494_c24dc236","IMG_3494_c24dc236.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3494_c24dc236.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3494.jpeg","38.9941861111111","-76.9989166666667","64.67573612","107.4696656","12.87664745","2026-06-02T17:32:47","-04:00","2026-06-02T21:32:47","1","3024","4032"
"IMG_3495_ba45685e","IMG_3495_ba45685e.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3495_ba45685e.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3495.jpeg","38.9935694444444","-76.9988111111111","63.31930114","46.85901263","3.797911956","2026-06-02T17:36:57","-04:00","2026-06-02T21:36:56","1","3024","4032"
"IMG_3712_a4395f26","IMG_3712_a4395f26.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3712_a4395f26.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3712.jpeg","38.8920472222222","-78.1584638888889","326.729097","129.9110413","4.748651537","2026-07-01T09:59:07","-04:00","2026-07-01T13:59:06","1","4032","3024"
"IMG_3786_80d12c97","IMG_3786_80d12c97.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3786_80d12c97.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3786.jpeg","38.8895861111111","-78.1636361111111","313.8427012","323.4208065","4.748651527","2026-07-11T06:46:41","-04:00","2026-07-11T10:46:40","1","3024","4032"
"IMG_3544_16ef336a","IMG_3544_16ef336a.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3544_16ef336a.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3544.jpeg","38.8937805555556","-78.1662833333333","305.867236","131.1025848","3.247547302","2026-06-06T14:29:58","-04:00","2026-06-06T18:29:57","1","5712","4284"
"IMG_3860_12589587","IMG_3860_12589587.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3860_12589587.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3860.jpeg","38.8956944444444","-78.1671972222222","326.7479835","54.25398257","4.748651531","2026-07-25T06:16:09","-04:00","2026-07-25T10:16:08","1","3024","4032"
"IMG_3323_0f9ad866","IMG_3323_0f9ad866.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3323_0f9ad866.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3323.jpeg","38.9953805555556","-76.9997861111111","69.0541495","317.519516","11.96072819","2026-04-21T12:05:48","-04:00","2026-04-21T16:05:48","1","3024","4032"
